,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,track_id,artist_name,artist_id
0,0.634,0.523,4,-4.886,0,0.078,0.972,3.3e-06,0.119,0.328,135.213,audio_features,1OxZ1yVjyHIwBjKz8LnZVX,spotify:track:1OxZ1yVjyHIwBjKz8LnZVX,https://api.spotify.com/v1/tracks/1OxZ1yVjyHIwBjKz8LnZVX,https://api.spotify.com/v1/audio-analysis/1OxZ1yVjyHIwBjKz8LnZVX,66594,4,Вступление (1981),spotify:track:1OxZ1yVjyHIwBjKz8LnZVX,Sektor Gaza,4W4XLF8i9cHVqwASg8Kqv6
1,0.683,0.56,5,-4.78,0,0.402,0.929,0.0,0.114,0.718,110.234,audio_features,3NxTAhLm8kgxZBDGJaFAJ9,spotify:track:3NxTAhLm8kgxZBDGJaFAJ9,https://api.spotify.com/v1/tracks/3NxTAhLm8kgxZBDGJaFAJ9,https://api.spotify.com/v1/audio-analysis/3NxTAhLm8kgxZBDGJaFAJ9,218187,4,Без вина (1981),spotify:track:3NxTAhLm8kgxZBDGJaFAJ9,Sektor Gaza,4W4XLF8i9cHVqwASg8Kqv6
2,0.542,0.39,10,-4.043,0,0.113,0.96,0.0,0.113,0.516,141.599,audio_features,02eOC7IqL4K7AGgQTa5S8O,spotify:track:02eOC7IqL4K7AGgQTa5S8O,https://api.spotify.com/v1/tracks/02eOC7IqL4K7AGgQTa5S8O,https://api.spotify.com/v1/audio-analysis/02eOC7IqL4K7AGgQTa5S8O,251438,4,Подруга шестиструнная,spotify:track:02eOC7IqL4K7AGgQTa5S8O,Sektor Gaza,4W4XLF8i9cHVqwASg8Kqv6
3,0.67,0.644,5,-3.452,1,0.5,0.964,0.0,0.131,0.844,76.92,audio_features,746ITmVCOCP7XnhFAzxfwe,spotify:track:746ITmVCOCP7XnhFAzxfwe,https://api.spotify.com/v1/tracks/746ITmVCOCP7XnhFAzxfwe,https://api.spotify.com/v1/audio-analysis/746ITmVCOCP7XnhFAzxfwe,163219,3,Про лето,spotify:track:746ITmVCOCP7XnhFAzxfwe,Sektor Gaza,4W4XLF8i9cHVqwASg8Kqv6
4,0.575,0.675,4,-4.934,0,0.0288,0.56,0.0,0.0757,0.264,95.953,audio_features,2aF4JYWUFAXbgWBHS5VkYL,spotify:track:2aF4JYWUFAXbgWBHS5VkYL,https://api.spotify.com/v1/tracks/2aF4JYWUFAXbgWBHS5VkYL,https://api.spotify.com/v1/audio-analysis/2aF4JYWUFAXbgWBHS5VkYL,247210,3,Милая,spotify:track:2aF4JYWUFAXbgWBHS5VkYL,Sektor Gaza,4W4XLF8i9cHVqwASg8Kqv6
5,0.685,0.584,5,-3.565,0,0.085,0.98,0.0,0.117,0.598,101.059,audio_features,4wKTTKhirqFW2YJtdbAIgC,spotify:track:4wKTTKhirqFW2YJtdbAIgC,https://api.spotify.com/v1/tracks/4wKTTKhirqFW2YJtdbAIgC,https://api.spotify.com/v1/audio-analysis/4wKTTKhirqFW2YJtdbAIgC,139000,4,Первая любовь,spotify:track:4wKTTKhirqFW2YJtdbAIgC,Sektor Gaza,4W4XLF8i9cHVqwASg8Kqv6
6,0.467,0.333,10,-8.817,0,0.255,0.969,0.0523,0.108,0.375,80.362,audio_features,2DhCi3AZGi9NdJQBO87xxE,spotify:track:2DhCi3AZGi9NdJQBO87xxE,https://api.spotify.com/v1/tracks/2DhCi3AZGi9NdJQBO87xxE,https://api.spotify.com/v1/audio-analysis/2DhCi3AZGi9NdJQBO87xxE,253187,4,Проходят годы словно миг,spotify:track:2DhCi3AZGi9NdJQBO87xxE,Sektor Gaza,4W4XLF8i9cHVqwASg8Kqv6
7,0.671,0.545,5,-4.604,1,0.248,0.984,0.0,0.148,0.648,82.53,audio_features,6eAqu8tqowyONxPLAdqu4X,spotify:track:6eAqu8tqowyONxPLAdqu4X,https://api.spotify.com/v1/tracks/6eAqu8tqowyONxPLAdqu4X,https://api.spotify.com/v1/audio-analysis/6eAqu8tqowyONxPLAdqu4X,263500,4,Про мальчишку,spotify:track:6eAqu8tqowyONxPLAdqu4X,Sektor Gaza,4W4XLF8i9cHVqwASg8Kqv6
8,0.686,0.636,2,-5.199,1,0.0305,0.158,0.0,0.112,0.713,81.998,audio_features,40MeD0p6l7rkz1Sy1Jue8w,spotify:track:40MeD0p6l7rkz1Sy1Jue8w,https://api.spotify.com/v1/tracks/40MeD0p6l7rkz1Sy1Jue8w,https://api.spotify.com/v1/audio-analysis/40MeD0p6l7rkz1Sy1Jue8w,263745,4,Вой на луну,spotify:track:40MeD0p6l7rkz1Sy1Jue8w,Sektor Gaza,4W4XLF8i9cHVqwASg8Kqv6
9,0.355,0.643,4,-6.051,0,0.11,0.231,0.0,0.19,0.519,68.417,audio_features,4SZ8eXB6m0aQr4Brjj1EIX,spotify:track:4SZ8eXB6m0aQr4Brjj1EIX,https://api.spotify.com/v1/tracks/4SZ8eXB6m0aQr4Brjj1EIX,https://api.spotify.com/v1/audio-analysis/4SZ8eXB6m0aQr4Brjj1EIX,286656,4,Людмила,spotify:track:4SZ8eXB6m0aQr4Brjj1EIX,Sektor Gaza,4W4XLF8i9cHVqwASg8Kqv6
10,0.414,0.888,2,-7.132,1,0.127,0.0222,0.0,0.121,0.707,171.721,audio_features,04bCGFSYLNE9m9zdRne1vT,spotify:track:04bCGFSYLNE9m9zdRne1vT,https://api.spotify.com/v1/tracks/04bCGFSYLNE9m9zdRne1vT,https://api.spotify.com/v1/audio-analysis/04bCGFSYLNE9m9zdRne1vT,153593,4,Он так ее любил,spotify:track:04bCGFSYLNE9m9zdRne1vT,Sektor Gaza,4W4XLF8i9cHVqwASg8Kqv6
